signal_number,station_code,station_name,section,line,direction,location_text,km_text,km_from_csmt,latitude,longitude,signal_type,signal_function,placement,on_curve,curve_remarks,is_rhs,is_ext_rhs,is_lhs,is_ext_lhs,has_legend_board,has_calling_on,has_shunt_signal,ri_left_arms,ri_right_arms,book_description,route_indicator_notes,technical_remarks,visibility_distance_m,sighting_remarks,is_active
L-4818,,,CSMT-KYN,UP LOC,UP,,48/243,,,,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,UP GRADIENT,Book shows up-gradient arrow with left curve,,,,1
L-4810,,,CSMT-KYN,UP LOC,UP,,48/219,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
DI S-36,DI,Dombivali,CSMT-KYN,UP LOC,UP,PF-3 STR,,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
DI S-35,DI,Dombivali,CSMT-KYN,UP LOC,UP,PF-2 STR,,,,,Semi-Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,,,1
L-4710,,,CSMT-KYN,UP LOC,UP,,47/220,,,,Automatic,,Extreme Right,,,0,1,0,0,0,0,0,0,0,,,,,,1
L-4702,,,CSMT-KYN,UP LOC,UP,,47/206,,,,Automatic,,Extreme Right,,,0,1,0,0,0,0,0,0,0,,,,,,1
DI S-16,DI,Dombivali,CSMT-KYN,UP LOC,UP,PF-2 STR,,,,,Semi-Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,,,1
L-4602,,,CSMT-KYN,UP LOC,UP,,46/205,,,,Automatic,,Extreme Right,,,0,1,0,0,0,0,0,0,0,,,,,,1
L-4506,,,CSMT-KYN,UP LOC,UP,,45/213,,,,Automatic,,Extreme Right,,,0,1,0,0,0,0,0,0,0,,,,,,1
L-4410,,,CSMT-KYN,UP LOC,UP,,44/227,,,,Automatic,,Extreme Right,,,0,1,0,0,0,0,0,0,0,,,,,,1
L-4314,,,CSMT-KYN,UP LOC,UP,,43/241,,,,Automatic,,Extreme Right,Right,,0,1,0,0,0,0,0,0,0,,,,,,1
L-4308,,,CSMT-KYN,UP LOC,UP,,43/227,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
